,word,frequency,POS
8169,hananiah,29,PROPN
3444,anointing,28,VERB
1887,happy,28,ADJ
7412,rejoicing,28,VERB
2794,falleth,28,PROPN
1852,roll,28,NOUN
2802,114,28,NUM
3354,thief,28,NOUN
5736,straight,28,ADJ
1271,justice,28,NOUN
2537,merry,28,NOUN
729,perpetual,28,ADJ
1494,rebekah,28,ADV
719,lives,28,VERB
9460,obtained,28,VERB
3491,uttermost,28,ADJ
3605,dung,28,NOUN
13777,charity,28,NOUN
4327,humbled,28,VERB
1479,sand,28,NOUN
7649,baasha,28,PROPN
2121,beneath,28,ADP
3448,breastplate,28,NOUN
5706,whithersoever,28,NOUN
4077,seemeth,28,NOUN
12125,spiritual,28,ADJ
926,kindred,28,VERB
1175,camest,28,VERB
844,elam,28,PROPN
2881,levite,28,ADJ
4797,drawn,28,VERB
12461,cross,28,ADJ
3906,thanksgiving,28,VERB
3880,confess,28,VERB
6512,apparel,28,NOUN
1545,beware,28,VERB
639,bird,28,NOUN
3262,hundreds,28,NOUN
174,grew,28,VERB
4826,valleys,28,VERB
3600,covereth,27,PROPN
2749,breasts,27,NOUN
7751,whirlwind,27,NOUN
446,findeth,27,PROPN
873,language,27,NOUN
5169,whereunto,27,ADP
441,punishment,27,NOUN
4271,liberty,27,NOUN
1578,lodge,27,NOUN
3201,less,27,ADJ
1325,fellow,27,NOUN
4658,miracles,27,NOUN
3598,gird,27,NOUN
711,summer,27,NOUN
8019,workers,27,NOUN
9062,province,27,PROPN
716,fishes,27,VERB
774,isles,27,NOUN
3259,ordinances,27,NOUN
3648,ointment,27,ADJ
7650,benhadad,27,PROPN
5186,trodden,27,ADJ
4200,lame,27,VERB
8049,johanan,27,PROPN
12194,preaching,27,VERB
8232,ezra,27,PROPN
2104,wealth,27,NOUN
1857,space,27,NOUN
8677,thank,27,VERB
3048,eating,27,VERB
1835,whereon,27,PROPN
1406,restored,27,VERB
7308,ungodly,27,ADV
7049,deceive,27,VERB
888,begin,27,VERB
7870,uzziah,27,PROPN
7868,shallum,27,NOUN
7158,uriah,27,PROPN
4705,perished,26,VERB
4439,recompense,26,NOUN
13343,macedonia,26,PROPN
2468,guilty,26,ADJ
3485,curtain,26,NOUN
9057,accomplished,26,VERB
6513,makest,26,X
2684,excellency,26,PROPN
1327,worse,26,ADJ
992,lots,26,NOUN
1071,hebrew,26,PROPN
12135,repentance,26,NOUN
2962,swallowed,26,VERB
3995,separation,26,NOUN
4108,coals,26,NOUN
3757,cords,26,VERB
7578,ministers,26,NOUN
6504,praised,26,VERB
5564,evermore,26,ADV
1994,fourteen,26,NUM
3533,robe,26,PROPN
1591,sisters,26,NOUN
1751,grief,26,NOUN
4058,running,26,VERB
9304,baruch,26,ADJ
5000,bonds,26,NOUN
1781,kissed,26,VERB
3049,count,26,VERB
2151,korah,26,NOUN
1524,hittite,26,PROPN
1012,westward,26,ADV
5850,carmel,26,PROPN
3165,trembling,26,VERB
1166,wrong,26,ADJ
3386,dogs,26,VERB
2886,refuse,26,VERB
7722,seal,26,NOUN
1127,birds,26,NOUN
7307,waves,26,NOUN
3140,exalt,26,VERB
2982,finger,26,NOUN
4138,confusion,26,NOUN
10156,lovingkindness,26,NOUN
2111,change,26,NOUN
5691,ancient,26,ADJ
3931,uncover,26,VERB
2510,double,26,ADJ
5075,goings,26,NOUN
10368,synagogues,26,NOUN
7035,adonijah,26,PROPN
2789,14,26,NUM
6958,zeruiah,26,PROPN
3674,timber,26,NOUN
2408,withered,25,VERB
1397,offended,25,VERB
9795,persecute,25,VERB
3054,upper,25,ADJ
84,115,25,NUM
3189,prove,25,VERB
1216,plains,25,VERB
3976,beareth,25,NOUN
8665,maaseiah,25,PROPN
6957,abishai,25,PROPN
9963,offend,25,VERB
2723,burdens,25,NOUN
1241,cakes,25,NOUN
2996,sprinkled,25,VERB
7607,nebat,25,PROPN
1608,jewels,25,NOUN
4719,fulness,25,PROPN
3230,tempted,25,VERB
5005,husbands,25,NOUN
2502,best,25,ADJ
7563,joyful,25,ADJ
1998,rebuked,25,VERB
4751,arnon,25,NOUN
9740,pain,25,NOUN
393,gotten,25,VERB
3434,willingly,25,ADV
2037,accept,25,VERB
1728,store,25,NOUN
671,fro,25,VERB
7030,amnon,25,NOUN
4646,figs,25,NOUN
7980,courts,25,NOUN
7447,solomons,25,NOUN
3018,humble,25,ADJ
8923,teaching,25,VERB
4002,spot,25,NOUN
2773,lamentation,25,NOUN
3338,wound,25,NOUN
2228,coat,25,NOUN
104,fly,25,VERB
7998,meshullam,25,INTJ
10186,glorify,25,VERB
5599,perceive,25,NOUN
3865,somewhat,25,ADV
59,seas,25,NOUN
9148,darius,25,NOUN
3564,inward,25,ADV
1043,fourteenth,25,NOUN
1158,jebusites,25,NOUN
2887,sharp,25,ADJ
2291,displeased,25,VERB
2953,phinehas,25,NOUN
3374,wax,24,NOUN
6585,boaz,24,VERB
3377,usury,24,PROPN
2038,eleven,24,NUM
2028,kine,24,NOUN
6526,lose,24,VERB
520,ninety,24,NUM
2850,oppression,24,NOUN
1596,mens,24,NOUN
8681,marvellous,24,ADJ
1096,tithes,24,NOUN
4584,talk,24,VERB
771,tarshish,24,VERB
10358,prayers,24,NOUN
12,void,24,NOUN
1867,fulfil,24,NOUN
4553,calling,24,VERB
138,female,24,NOUN
5649,forsook,24,VERB
5790,lachish,24,NOUN
6218,deny,24,VERB
2263,midianites,24,VERB
974,plagues,24,NOUN
3347,testified,24,VERB
2286,tamar,24,PROPN
3089,bringing,24,VERB
3099,apart,24,ADV
9370,precepts,24,VERB
4312,contrary,24,ADJ
11950,multitudes,24,NOUN
2582,visions,24,NOUN
5436,dedicated,24,VERB
3466,bowls,24,VERB
3187,hunger,24,NOUN
1010,northward,24,ADV
2866,snow,24,NOUN
3738,groves,24,NOUN
6834,prudent,24,ADJ
12705,lusts,24,NOUN
3364,condemn,24,NOUN
6772,swords,24,NOUN
6784,armour,24,NOUN
2830,helped,24,VERB
9024,err,24,PROPN
1060,amalekites,24,NOUN
11,form,24,NOUN
6380,jotham,24,PROPN
523,fifteen,24,NUM
2161,amalek,24,VERB
508,begotten,24,ADV
6388,cedars,24,NOUN
372,skins,24,NOUN
2568,fame,24,PROPN
1011,southward,24,ADV
1413,visited,23,VERB
2851,oppress,23,NOUN
3911,abominable,23,ADJ
3431,matters,23,NOUN
8686,roar,23,VERB
921,barren,23,PROPN
6394,treacherously,23,ADV
2533,marvelled,23,VERB
3469,alway,23,ADV
2369,basket,23,NOUN
2727,path,23,NOUN
4121,killeth,23,PROPN
7829,jehoahaz,23,PROPN
2294,grown,23,VERB
3883,estimation,23,NOUN
3835,namely,23,ADV
6294,governors,23,NOUN
5816,mizpeh,23,NOUN
5737,blew,23,VERB
5178,16,23,NUM
5202,ammonites,23,VERB
4813,rocks,23,NOUN
2362,mention,23,VERB
7745,jehoram,23,PROPN
3951,eagle,23,PROPN
1160,egyptian,23,PROPN
9878,winds,23,NOUN
3879,pronounce,23,NOUN
4701,swallow,23,NOUN
2003,mizpah,23,NOUN
1320,wickedly,23,ADV
3759,stirred,23,VERB
9056,cyrus,23,PROPN
7704,hazael,23,PROPN
10244,lovers,23,NOUN
4221,acceptable,23,ADJ
3368,virgins,23,VERB
12415,heavenly,23,ADV
3576,pomegranates,23,VERB
7154,besieged,23,VERB
10168,bridegroom,23,NOUN
4758,spring,23,NOUN
1893,hire,23,VERB
10030,guide,23,NOUN
4529,twelfth,23,ADJ
2867,plucked,23,VERB
3719,proclaim,23,VERB
10346,council,23,NOUN
7125,shields,23,NOUN
1247,hasted,23,VERB
3314,216,23,NUM
1863,beautiful,23,ADJ
2618,sixteen,23,NUM
3065,leaven,23,PROPN
3392,astray,22,ADP
2471,required,22,VERB
2288,marry,22,PROPN
4422,ministry,22,NOUN
6435,companions,22,NOUN
3275,stoned,22,VERB
1078,eighteen,22,NUM
3846,22,22,NUM
4652,defence,22,NOUN
2275,mourned,22,VERB
3214,taste,22,NOUN
2734,overcome,22,VERB
1966,steal,22,VERB
145,bearing,22,VERB
1769,seem,22,VERB
1154,hittites,22,VERB
7671,jezebel,22,PROPN
7021,pool,22,NOUN
7072,hiram,22,PROPN
2783,machir,22,NOUN
1128,carcases,22,NOUN
3353,used,22,VERB
2788,13,22,NUM
7717,naboth,22,PROPN
978,saidst,22,NOUN
1906,learned,22,VERB
1909,hadst,22,ADV
2301,pledge,22,PROPN
1495,concubine,22,NOUN
3217,pot,22,NOUN
3713,moment,22,NOUN
2268,josephs,22,PROPN
11541,tyrus,22,NOUN
219,212,22,NUM
4782,og,22,ADP
2844,shoes,22,NOUN
3411,adversary,22,NOUN
4269,jubile,22,NOUN
1444,mean,22,VERB
3311,discovered,22,VERB
6635,bitterness,22,NOUN
4323,shaken,22,VERB
5460,merchandise,22,NOUN
12703,mystery,22,NOUN
4279,grant,22,VERB
2846,sorrows,22,NOUN
8168,zerubbabel,22,PROPN
12368,baptism,22,NOUN
3298,hallowed,22,VERB
559,strive,22,VERB
3122,graves,22,NOUN
4732,vexed,22,VERB
4718,reckoned,22,VERB
7312,brightness,22,NOUN
12610,partakers,22,NOUN
1243,herd,22,NOUN
3629,hin,22,PRON
4383,setteth,22,PROPN
2364,hebrews,22,NOUN
2310,whoredom,22,NOUN
3394,forbear,22,NOUN
5854,ekron,22,PROPN
2339,ward,22,PROPN
2314,breach,22,NOUN
4678,sinneth,22,PROPN
5568,mad,22,ADJ
5251,tribulation,22,NOUN
7119,casting,21,VERB
3484,twined,21,VERB
12567,scriptures,21,NOUN
5591,wonderful,21,ADJ
5181,112,21,NUM
6270,sisera,21,NOUN
5902,bethshemesh,21,NOUN
7092,fir,21,NOUN
3164,amazed,21,ADJ
8640,greatest,21,ADJ
5559,astonishment,21,NOUN
2238,dreams,21,VERB
4390,36,21,NUM
4299,safely,21,ADV
1562,drinking,21,VERB
5826,ashdod,21,PROPN
12575,caesar,21,PROPN
159,ended,21,VERB
1400,sawest,21,ADJ
1558,thereby,21,ADV
4227,corruption,21,NOUN
1754,weapons,21,NOUN
1539,thigh,21,NOUN
2720,zidon,21,NOUN
3845,asunder,21,ADV
1793,trembled,21,VERB
9048,condemned,21,VERB
3870,common,21,ADJ
5368,release,21,NOUN
3348,sum,21,NOUN
3095,openeth,21,PROPN
1567,wit,21,NOUN
1680,stronger,21,ADJ
397,keeper,21,PROPN
10112,deceitful,21,PROPN
161,rested,21,VERB
2946,ithamar,21,PROPN
10626,sinner,21,NOUN
6906,achish,21,PROPN
13171,asia,21,PROPN
4154,unrighteousness,21,ADJ
2517,occasion,21,NOUN
8881,supplications,21,NOUN
8043,husbandmen,21,PROPN
8900,prophecy,21,NOUN
1338,mocked,21,VERB
2807,116,21,NUM
3836,113,21,NUM
1438,falsely,21,ADV
4799,further,21,ADV
2022,lodged,21,VERB
8959,counsellors,21,NOUN
9874,equal,21,ADJ
6702,joel,21,PROPN
6438,lament,21,NOUN
6714,kish,21,ADJ
1347,magnified,21,VERB
4633,holds,21,VERB
231,euphrates,21,NOUN
6724,seer,21,NOUN
6824,performed,21,VERB
6432,recover,21,VERB
1133,theirs,21,NOUN
7831,keepers,21,NOUN
9270,shushan,21,PROPN
610,sort,21,ADV
3779,shoot,21,VERB
7685,obadiah,21,PROPN
295,32,21,NUM
5654,froward,21,NOUN
9660,hypocrites,21,NOUN
12363,esaias,21,PROPN
2096,large,21,ADJ
12455,parents,21,NOUN
4831,higher,21,ADJ
1510,choice,21,NOUN
2948,elkanah,21,PROPN
2827,214,20,NUM
1982,custom,20,NOUN
5617,persecuted,20,VERB
1713,laws,20,NOUN
10171,simple,20,ADJ
1980,searched,20,VERB
6737,care,20,VERB
2943,nadab,20,NOUN
4356,eliab,20,NOUN
1366,gat,20,NOUN
2224,habitations,20,NOUN
7611,ahijah,20,PROPN
5454,215,20,NUM
7817,eunuchs,20,PROPN
8048,nethaniah,20,PROPN
5569,proverb,20,PROPN
5155,murderer,20,NOUN
2411,sheweth,20,PROPN
6636,praying,20,VERB
6570,naomi,20,NOUN
4280,redemption,20,NOUN
5579,swift,20,PROPN
843,elder,20,NOUN
8892,roots,20,NOUN
5076,executed,20,VERB
8938,persuaded,20,VERB
7413,feareth,20,PROPN
3601,inwards,20,NOUN
2642,pasture,20,NOUN
3144,bottom,20,NOUN
8941,taking,20,VERB
1323,roof,20,NOUN
4743,fiery,20,ADV
4804,perverse,20,VERB
392,cain,20,NOUN
2332,prisoners,20,NOUN
4430,entereth,20,PROPN
4607,alas,20,INTJ
1933,feeble,20,ADJ
751,shoulders,20,NOUN
2979,heaps,20,NOUN
1780,kiss,20,VERB
1782,smell,20,NOUN
12425,centurion,20,NOUN
1830,dreamed,20,VERB
1976,whomsoever,20,NOUN
2558,aloud,20,ADJ
10301,working,20,VERB
7093,harps,20,NOUN
5673,recompence,20,NOUN
7134,seraiah,20,PROPN
8001,ahikam,20,PROPN
7101,obededom,20,ADV
7713,boast,20,VERB
7861,jonah,20,PROPN
5499,ease,20,NOUN
197,eden,20,PROPN
5455,tried,20,VERB
4523,eleventh,20,NOUN
225,ethiopia,20,PROPN
4634,courage,20,NOUN
349,315,20,NUM
1968,songs,20,NOUN
1965,secretly,20,ADV
9599,maker,20,NOUN
3413,sickness,20,NOUN
3475,flower,20,NOUN
4555,assemble,20,VERB
4543,belongeth,20,PROPN
7219,foolishness,20,NOUN
9602,envy,20,NOUN
3462,thereto,20,VERB
10456,insomuch,20,NOUN
7208,ahithophel,20,NOUN
10232,conversation,20,NOUN
10239,transgressors,20,NOUN
7633,abijah,20,PROPN
5469,accursed,20,VERB
2436,ride,20,VERB
4836,stir,20,VERB
5723,magnify,19,VERB
5642,instructed,19,VERB
5776,league,19,NOUN
2549,deed,19,VERB
5259,mightest,19,ADJ
5722,33,19,NUM
63,herb,19,NOUN
5347,dwellest,19,VERB
5675,calamity,19,NOUN
5772,bottles,19,NOUN
5811,hazor,19,PROPN
2545,mouths,19,NOUN
591,pitch,19,NOUN
2651,faileth,19,VERB
5518,vile,19,ADJ
5308,uprightness,19,ADJ
2372,hang,19,VERB
910,haran,19,PROPN
1381,moabites,19,NOUN
5152,slayer,19,NOUN
10564,stumble,19,VERB
2548,speedily,19,ADV
3745,kindle,19,PROPN
1975,force,19,NOUN
4276,safety,19,NOUN
2909,fault,19,NOUN
3174,murmured,19,VERB
3321,marriage,19,NOUN
9971,despiseth,19,NOUN
2163,zerah,19,PROPN
170,25,19,NUM
3198,manna,19,PROPN
3807,band,19,NOUN
268,222,19,NUM
1265,denied,19,VERB
9013,purposed,19,VERB
275,bone,19,NOUN
3154,lust,19,NOUN
1952,childrens,19,NOUN
3740,whoring,19,VERB
2965,hitherto,19,PROPN
1778,jacobs,19,PROPN
742,drank,19,VERB
3031,darkened,19,VERB
1214,abrahams,19,VERB
3137,thrown,19,VERB
1120,heifer,19,PROPN
3006,thunder,19,NOUN
12449,betrayed,19,VERB
10137,den,19,NOUN
6966,faithfulness,19,NOUN
6951,offence,19,NOUN
7950,reprove,19,ADV
4302,abhor,19,NOUN
3152,floods,19,NOUN
7441,ramothgilead,19,NOUN
4183,committeth,19,NOUN
3808,rend,19,VERB
2249,conspired,19,VERB
4128,approach,19,NOUN
10776,abound,19,VERB
3280,descended,19,VERB
1425,spent,19,VERB
4997,bond,19,NOUN
3281,ascended,19,VERB
319,leaves,19,VERB
9317,laboured,19,VERB
5054,subdued,19,VERB
833,gaza,19,PROPN
1414,suck,19,VERB
836,gomorrah,19,PROPN
3289,jealous,19,ADJ
1355,overthrow,19,NOUN
4060,deals,19,NOUN
2701,cruel,19,ADJ
9277,dragon,19,PROPN
3059,legs,19,NOUN
3261,covetousness,19,NOUN
7736,amon,19,PROPN
6372,request,19,NOUN
13213,antioch,19,PROPN
9829,clothing,19,NOUN
709,cold,18,ADJ
7663,omri,18,NOUN
673,dove,18,VERB
4020,burneth,18,NOUN
9798,redeemer,18,NOUN
2594,gershon,18,NOUN
10161,highest,18,ADJ
4173,familiar,18,ADJ
4375,125,18,NUM
1515,communed,18,VERB
4384,standard,18,NOUN
7253,watchman,18,NOUN
4420,cloth,18,NOUN
10223,ah,18,INTJ
7727,micaiah,18,PROPN
3618,breast,18,NOUN
1677,intreated,18,VERB
7780,rage,18,NOUN
4027,black,18,ADJ
3604,kidneys,18,NOUN
3184,fifteenth,18,NOUN
623,nights,18,NOUN
9817,layeth,18,PROPN
4253,boughs,18,NOUN
4097,bathe,18,VERB
1226,fetched,18,VERB
2516,bade,18,PROPN
1606,bad,18,ADJ
1253,stricken,18,VERB
1261,laugh,18,VERB
8642,betray,18,VERB
3283,sounded,18,VERB
3419,basons,18,NOUN
12623,christs,18,NOUN
1500,maachah,18,NOUN
3032,herbs,18,NOUN
6638,sorrowful,18,ADJ
2817,maidens,18,PROPN
2899,stubble,18,ADJ
6689,calves,18,NOUN
2042,breaking,18,VERB
3524,hangings,18,NOUN
6641,rejoiceth,18,PROPN
2068,succoth,18,NOUN
799,nineveh,18,PROPN
3806,fastened,18,VERB
3510,hanging,18,VERB
3509,hooks,18,NOUN
2847,38,18,NUM
3505,middle,18,ADJ
2821,28,18,NUM
6453,manoah,18,PROPN
6415,armourbearer,18,NOUN
603,lower,18,ADJ
9673,tempest,18,ADJ
6305,courses,18,NOUN
4924,tirzah,18,PROPN
2774,floor,18,NOUN
5779,kirjathjearim,18,PROPN
6242,baalim,18,PROPN
5801,necks,18,NOUN
3860,ignorance,18,NOUN
3849,23,18,NUM
2309,played,18,VERB
5081,libnah,18,NOUN
5975,keilah,18,PROPN
3468,shewbread,18,PROPN
5159,hatred,18,NOUN
2636,presented,18,VERB
6813,michal,18,PROPN
7986,turning,18,VERB
1112,heir,18,NOUN
1859,wages,18,NOUN
7023,asahel,18,PROPN
3856,34,18,NUM
2992,israelites,18,PROPN
3047,124,18,NUM
1845,vowed,18,VERB
6938,nabal,18,PROPN
2459,youngest,18,ADJ
1155,perizzites,18,VERB
752,backward,18,ADV
8511,nethinims,18,NOUN
7108,base,18,NOUN
41,firmament,17,NOUN
2771,threshingfloor,17,NOUN
4037,leper,17,NOUN
3035,dwellings,17,NOUN
12519,caesarea,17,PROPN
5447,siege,17,NOUN
5002,uttered,17,VERB
5179,17,17,NUM
5464,acknowledge,17,VERB
3307,hewn,17,VERB
745,uncovered,17,VERB
9358,fasting,17,VERB
4481,charger,17,NOUN
5352,belial,17,ADJ
5027,pertained,17,VERB
2812,longer,17,ADV
4358,elishama,17,PROPN
3333,punished,17,VERB
3166,melt,17,VERB
4683,bid,17,VERB
4649,stature,17,NOUN
12408,publicans,17,NOUN
4602,meek,17,PROPN
5367,desireth,17,PROPN
3888,fellowship,17,NOUN
3142,depths,17,NOUN
13337,timotheus,17,PROPN
4218,freewill,17,NOUN
2586,hezron,17,NOUN
3990,whereupon,17,NOUN
2839,horeb,17,PROPN
431,crieth,17,PROPN
4567,quenched,17,VERB
4158,avenge,17,NOUN
4724,gathereth,17,PROPN
4482,bowl,17,NOUN
928,122,17,NUM
6340,try,17,VERB
6872,twain,17,NOUN
1450,grove,17,NOUN
8697,estate,17,NOUN
1069,victuals,17,NOUN
1730,wells,17,NOUN
9819,judgeth,17,PROPN
6556,voices,17,NOUN
3473,flowers,17,NOUN
7837,jehoash,17,PROPN
6543,lewdness,17,NOUN
1421,putting,17,VERB
3689,play,17,NOUN
7231,oracle,17,NOUN
9812,casteth,17,PROPN
6731,speakest,17,ADJ
5636,publish,17,VERB
7839,account,17,NOUN
2469,anguish,17,NOUN
1427,shot,17,VERB
8187,eliashib,17,VERB
932,123,17,NUM
1529,weighed,17,VERB
3659,frankincense,17,NOUN
238,freely,17,ADV
1480,shore,17,NOUN
5495,prosperity,17,NOUN
552,shem,17,NOUN
8920,towers,17,NOUN
5827,divisions,17,NOUN
1059,kadesh,17,PROPN
6773,spears,17,NOUN
12838,subject,17,NOUN
1990,torn,17,VERB
2420,twice,17,ADV
2045,breaketh,17,PROPN
3859,42,17,NUM
6622,otherwise,17,ADV
1978,discern,17,NOUN
11253,elect,17,VERB
7801,athaliah,17,PROPN
10082,trusteth,17,PROPN
13400,ephesus,17,PROPN
1650,concubines,17,NOUN
9752,filthy,17,ADJ
3834,19,17,NUM
10365,ignorant,17,ADJ
2258,myrrh,17,PROPN
10268,unjust,17,ADJ
2518,bondmen,17,NOUN
2526,health,17,NOUN
3552,row,17,NOUN
5516,stripes,17,NOUN
6281,thirsty,17,ADJ
2538,overtake,17,PROPN
3643,principal,17,NOUN
301,35,17,NUM
2541,drinketh,17,NOUN
6350,companies,17,NOUN
2217,elah,17,PROPN
553,ham,17,NOUN
1785,fatness,17,PROPN
3499,board,17,PROPN
6939,abigail,17,PROPN
3876,hidden,17,VERB
6179,anathoth,16,PROPN
409,45,16,NUM
11852,parables,16,NOUN
2888,bloody,16,ADJ
6286,asleep,16,ADJ
3583,forehead,16,PROPN
6677,tumult,16,NOUN
3821,clothe,16,VERB
9609,devices,16,NOUN
13610,uncircumcision,16,NOUN
3375,lend,16,VERB
4873,reubenites,16,NOUN
5177,15,16,NUM
3822,priesthood,16,NOUN
434,412,16,NUM
1511,sepulchres,16,NOUN
7703,earthquake,16,NOUN
4024,beard,16,PROPN
9786,candle,16,NOUN
7461,heman,16,NOUN
13182,exhort,16,NOUN
5196,211,16,NUM
8038,mattaniah,16,PROPN
7923,rabshakeh,16,ADJ
7321,teacheth,16,PROPN
1581,straw,16,NOUN
2050,preserved,16,VERB
12554,crucify,16,VERB
8317,amariah,16,PROPN
3149,overthrown,16,VERB
6542,minds,16,NOUN
2849,hivites,16,NOUN
8994,filthiness,16,ADP
7421,considered,16,VERB
2262,content,16,NOUN
6561,highway,16,NOUN
4259,blasphemed,16,VERB
6217,incline,16,VERB
4806,earnestly,16,ADV
493,avenged,16,VERB
3924,92,16,NUM
3948,swine,16,NOUN
10923,thieves,16,NOUN
7513,bases,16,NOUN
5059,aroer,16,PROPN
4267,accord,16,NOUN
3781,chapiters,16,VERB
10791,accuse,16,NOUN
1614,hinder,16,NOUN
9595,roaring,16,VERB
8835,footstool,16,PROPN
3236,hur,16,PROPN
3041,maidservant,16,ADJ
4100,soever,16,NOUN
8931,forces,16,NOUN
5667,dragons,16,NOUN
6817,ner,16,PROPN
2623,naaman,16,PROPN
1337,seemed,16,VERB
6835,comely,16,ADV
6867,musick,16,PROPN
7238,amasa,16,PROPN
6894,arrow,16,NOUN
4440,kinsman,16,NOUN
4613,jephunneh,16,PROPN
10430,temptation,16,NOUN
3421,obedient,16,NOUN
8548,jehiel,16,PROPN
5407,portions,16,NOUN
6930,hideth,16,PROPN
5707,111,16,NUM
6941,greet,16,NOUN
2994,boil,16,NOUN
3068,convocation,16,NOUN
5450,213,16,NUM
3727,longsuffering,16,NOUN
3726,proclaimed,16,VERB
3019,locusts,16,NOUN
3551,rows,16,VERB
7140,ziba,16,PROPN
2561,deliverance,16,NOUN
12499,unbelief,16,NOUN
1800,reserved,16,VERB
7096,cymbals,16,NOUN
1389,integrity,16,NOUN
4664,wasted,16,VERB
3671,devise,16,VERB
1198,betwixt,16,X
7956,scorn,16,VERB
396,abel,16,PROPN
7291,zeal,16,NOUN
5269,springs,16,NOUN
599,window,16,NOUN
9518,wailing,16,VERB
12378,capernaum,16,PROPN
3409,pardon,16,PROPN
2007,harm,16,NOUN
1202,needs,16,VERB
2913,abhorred,16,VERB
1988,stuff,16,NOUN
916,sarai,16,PROPN
2931,uzziel,16,PROPN
3103,although,16,SCONJ
3973,bald,16,ADJ
9151,artaxerxes,15,VERB
4842,star,15,NOUN
2166,dukes,15,NOUN
9689,increaseth,15,PROPN
6478,olives,15,VERB
4464,locks,15,NOUN
7326,mire,15,NOUN
6405,privily,15,ADV
7303,fingers,15,VERB
6687,cart,15,NOUN
1111,eliezer,15,VERB
1215,thirteen,15,NUM
7304,fortress,15,NOUN
190,nostrils,15,VERB
7104,shouting,15,VERB
2792,110,15,NUM
3043,dog,15,NOUN
12547,possible,15,ADJ
3051,126,15,NUM
3371,vex,15,INTJ
7926,eliakim,15,PROPN
1163,obtain,15,VERB
3168,miriam,15,PROPN
7063,mephibosheth,15,PROPN
4858,zimri,15,PROPN
12906,sailed,15,VERB
4847,nest,15,NOUN
3584,hallow,15,VERB
7473,builders,15,NOUN
8041,nebuzaradan,15,PROPN
3357,catch,15,VERB
4404,kohathites,15,VERB
2961,serpents,15,NOUN
10109,godly,15,ADV
7383,bani,15,PROPN
2860,sojourneth,15,PROPN
6581,minded,15,ADJ
2088,consent,15,NOUN
6787,ahitub,15,PROPN
10579,soweth,15,PROPN
7957,reproached,15,VERB
3665,312,15,NUM
6815,ahimaaz,15,NOUN
2874,slow,15,VERB
4006,135,15,NUM
1967,mirth,15,VERB
3742,thrice,15,PROPN
10486,beholding,15,VERB
3741,weeks,15,NOUN
2116,oak,15,PROPN
6499,beam,15,NOUN
6900,ahimelech,15,PROPN
1917,stolen,15,VERB
2877,deaf,15,ADJ
2146,eliphaz,15,PROPN
4700,visitation,15,NOUN
10425,becometh,15,PROPN
4823,falling,15,VERB
1922,rods,15,NOUN
6519,slothful,15,ADJ
6549,fasted,15,VERB
4752,wars,15,NOUN
3541,birth,15,NOUN
4753,brooks,15,NOUN
4625,michael,15,PROPN
659,stopped,15,VERB
9027,purge,15,NOUN
12317,testament,15,NOUN
4720,winepress,15,NOUN
2547,blameless,15,NOUN
884,reach,15,VERB
8267,genealogy,15,NOUN
1547,clear,15,ADJ
5271,added,15,VERB
2306,openly,15,ADV
1420,bottle,15,NOUN
4146,profaned,15,VERB
7627,pull,15,VERB
2421,shortly,15,ADV
5432,diligent,15,ADJ
3279,nether,15,NOUN
2491,hairs,15,NOUN
2381,ill,15,ADV
12021,shadrach,15,NOUN
9884,derision,15,NOUN
633,fountains,15,NOUN
12022,meshach,15,NOUN
12023,abednego,15,ADJ
9774,reins,15,NOUN
904,nahor,15,NOUN
7748,disease,15,PROPN
7835,followeth,15,ADP
7647,idol,15,PROPN
1290,lack,15,NOUN
5935,ziklag,15,PROPN
5322,regardeth,15,PROPN
1517,intreat,15,NOUN
7802,wounds,15,NOUN
2710,sceptre,15,NOUN
636,selfsame,15,NOUN
5716,29,15,NUM
5349,wonder,15,NOUN
2462,proved,15,VERB
2715,colt,15,NOUN
2366,baskets,15,NOUN
11980,arches,15,NOUN
5633,drop,15,NOUN
5376,wide,15,ADV
5258,terrors,15,NOUN
3478,proceed,15,VERB
3887,trespassed,15,VERB
3186,pots,15,NOUN
5205,223,15,NUM
2515,noon,15,NOUN
3292,shewing,15,VERB
1360,brimstone,15,NOUN
2563,goshen,15,PROPN
5506,sendeth,15,PROPN
6302,breaches,15,NOUN
3898,offereth,15,PROPN
1622,rode,15,VERB
12979,lazarus,15,PROPN
530,sixty,15,NUM
9855,reproof,15,NOUN
7889,entry,15,NOUN
5220,region,15,NOUN
8680,wondrous,15,ADJ
10778,often,15,ADV
2566,poverty,15,NOUN
1310,pressed,15,VERB
6211,snares,15,VERB
8348,hashabiah,15,PROPN
7520,wheel,15,NOUN
11378,wondered,15,VERB
14106,godliness,15,PROPN
3639,laver,15,INTJ
11511,consolation,15,NOUN
2389,magicians,15,NOUN
9136,tobiah,15,PROPN
8214,granted,15,VERB
7784,stick,14,PROPN
3101,firstling,14,VERB
914,chaldees,14,NOUN
1457,clave,14,VERB
1451,tempt,14,VERB
2399,bank,14,PROPN
1332,wearied,14,VERB
3532,consecrate,14,ADJ
5232,gadites,14,NOUN
4376,127,14,NUM
658,82,14,NUM
383,placed,14,VERB
4026,scall,14,NOUN
2929,amram,14,PROPN
3449,pattern,14,NOUN
4031,shave,14,NOUN
6769,leadeth,14,ADJ
5250,prolong,14,PROPN
4668,transgress,14,NOUN
10490,teachers,14,NOUN
7248,falsehood,14,NOUN
