word,frequency
joab,137
opened,137
camp,136
mountain,136
sabbath,136
houses,136
half,136
john,136
witness,135
become,135
goeth,135
most,135
shewed,135
heavens,134
trust,134
clean,133
wives,133
statutes,132
meet,132
service,132
north,132
beside,132
must,132
answer,131
rose,131
fat,130
hid,129
incense,129
gentiles,129
tongue,129
hope,129
stranger,129
isaac,128
hezekiah,128
numbered,128
judgments,127
names,127
captivity,127
bless,127
wickedness,127
sought,126
help,126
appointed,126
giveth,126
maketh,126
brass,126
depart,125
kill,125
smite,125
whither,124
open,124
samaria,124
wind,123
feast,123
family,123
chosen,123
didst,122
walked,122
ashamed,122
court,122
mans,122
pieces,121
ear,120
seventh,120
husband,120
perish,120
captains,119
sing,119
lips,119
rock,119
sinned,119
asked,119
generations,118
myself,118
assyria,118
jonathan,118
spoil,118
get,118
slay,117
better,117
hearts,116
seeing,116
believed,116
presence,116
suburbs,115
eye,115
leave,115
mayest,114
tribes,113
firstborn,113
fine,113
chariots,113
sit,113
vain,112
lot,111
horses,111
flock,111
desire,111
beloved,111
heads,110
trouble,110
wherewith,110
prayer,109
sister,109
ghost,109
spread,109
ask,109
sweet,108
followed,108
dust,108
alone,108
worship,108
teach,108
neighbour,107
generation,107
enemy,107
cloud,107
entered,107
fight,107
likewise,107
beginning,106
present,106
became,106
possess,106
wait,106
woe,106
buried,106
shut,105
lamb,105
covered,105
eaten,105
gospel,105
flee,105
lift,104
bound,104
command,104
saved,104
knoweth,104
possession,104
bullock,104
linen,104
garments,103
absalom,103
charge,102
corn,102
rain,102
jeroboam,102
idols,102
prince,102
oxen,102
egyptians,102
morrow,102
curse,101
utterly,101
prepared,101
iron,101
clothes,101
still,101
image,100
bow,100
minister,100
shame,100
coming,100
gilead,100
nigh,100
wrought,100
ready,100
portion,100
perfect,99
bones,99
tent,98
sore,98
riches,98
burned,98
anointed,98
plague,98
lion,98
loved,98
ram,97
small,97
goats,97
everlasting,97
pure,97
ought,97
liveth,96
angels,96
famine,96
consumed,96
suffer,96
nevertheless,96
saints,96
doeth,96
shekels,96
mind,95
declare,95
